ds,btc_close,eth_close,spx_close,btc_volume,eth_volume,btc_open,btc_high,btc_low,eth_open,eth_high,eth_low,m2,fg_fng_value,gt_bitcoin,hr_hash_rate,log_close,ret_1w,ret_4w,rv_4w,rv_8w,rsi_14,rsi_14_lag1,sma_7,sma_21,sma_50,sma_200,bb_width_20,pctb_20,eth_ret_1w,eth_ret_4w,eth_rv_4w,eth_rv_8w,eth_ret_1w_lag1,eth_ret_1w_lag2,eth_ret_1w_lag3,eth_ret_1w_lag4,eth_btc_ratio,spx_ret_1w,spx_ret_4w,spx_ret_1w_lag1,spx_ret_1w_lag2,spx_ret_1w_lag3,m2_chg_4w,m2_chg_13w,m2_chg_4w_lag1,m2_chg_4w_lag2,m2_chg_4w_lag3
2019-01-04,3857.7175,154.58194,2531.94,14623037522,9130597000.0,3832.04,3865.9346,3783.8538,148.91289,156.87898,147.9071,14549.1,48.0,7.051,41615984.0,8.257831,,,,,0.0,,,,,,,,,,,,,,,,0.040070828,,,,,,,,,,
2019-01-11,3687.3655,127.548325,2596.26,38798618092,20175985000.0,3674.0154,3713.8818,3653.0698,127.813965,130.16594,125.24494,14549.1,19.0,6.758,43571100.0,8.212667,-0.045163453,,,,0.0,0.0,,,,,,,-0.192229,,,,,,,,0.03459064,0.025086168,,,,,,,,,
2019-01-18,3657.8394,121.01026,2670.71,36509889396,17659859000.0,3677.9905,3682.52,3637.0808,123.654655,123.84169,120.2419,14501.8,29.0,5.876,40364260.0,8.204628,-0.008039608,,,,0.0,0.0,,,,,,,-0.05261996,,,,-0.192229,,,,0.033082444,0.028272389,,0.025086168,,,,,,,
2019-01-25,3599.7659,116.37834,2664.76,37818623789,18671276000.0,3607.3904,3612.9277,3575.5974,117.594955,117.80299,115.830154,14410.4,35.0,5.289,47384132.0,8.188624,-0.016003827,,,,0.0,0.0,,,,,,,-0.039028898,,,,-0.05261996,-0.192229,,,0.03232942,-0.002230339,,0.028272389,0.025086168,,,,,,
2019-02-01,3487.9453,107.60979,2706.53,40684263782,19699820000.0,3460.547,3501.954,3431.5916,107.14768,108.63871,105.0465,14340.5,23.0,5.582,45669650.0,8.157068,-0.03155598,-0.10076287,0.016512483,,0.0,0.0,,,,,,,-0.078334846,-0.36221272,0.06971595,,-0.039028898,-0.05261996,-0.192229,,0.030851914,0.015553381,0.0666816,-0.002230339,0.028272389,0.025086168,-0.014337657,,,,
2019-02-08,3666.7803,119.267746,2707.88,38898611438,18488900000.0,3401.3765,3695.614,3391.0237,104.64505,119.80582,104.194435,14405.2,37.0,6.17,50294424.0,8.207069,0.05000114,-0.005598273,0.035631523,,37.02333,0.0,,,,,,,0.10285933,-0.067124374,0.08140861,,-0.078334846,-0.039028898,-0.05261996,-0.192229,0.03252656,0.0004986152,0.042094044,0.015553381,-0.002230339,0.028272389,-0.009890646,,-0.014337657,,
2019-02-15,3620.8108,122.10039,2775.6,44000431986,22145497000.0,3617.3684,3647.7952,3608.2065,121.4537,123.660126,121.37192,14409.9,43.0,5.289,38267610.0,8.194453,-0.012615991,-0.010174657,0.035987493,,33.581585,37.02333,3654.032,,,,,,0.023472624,0.008968207,0.079100154,,0.10285933,-0.078334846,-0.039028898,-0.05261996,0.033721834,0.024700977,0.038522635,0.0004986152,0.015553381,-0.002230339,-0.0063371444,,-0.009890646,-0.014337657,
2019-02-22,4005.5266,149.09245,2792.67,57111127154,30067243000.0,3952.4065,4006.5383,3950.8164,146.07326,149.26862,145.20654,14410.2,61.0,5.876,35857050.0,8.29543,0.100977086,0.106806256,0.060551725,,63.8605,33.581585,3675.1477,,,,,,0.19972305,0.24772015,0.118061185,,0.023472624,0.10285933,-0.078334846,-0.039028898,0.037221685,0.006131124,0.046884097,0.024700977,0.0004986152,0.015553381,-1.38788655e-05,,-0.0063371444,-0.009890646,-0.014337657
2019-03-01,3859.5837,136.44362,2803.69,61328826287,31944208000.0,3853.757,3907.7954,3851.6924,136.83624,138.99527,136.43478,14390.6,42.0,5.289,48896964.0,8.258315,-0.037115723,0.10124651,0.06237123,0.050127655,53.83426,63.8605,3699.7502,,,,,,-0.08865512,0.23739988,0.122188866,0.122073285,0.19972305,0.023472624,0.10285933,-0.078334846,0.0353519,0.003938286,0.035269003,0.006131124,0.024700977,0.0004986152,0.003493602,,-1.38788655e-05,-0.0063371444,-0.009890646
2019-03-08,3901.1316,135.12708,2743.07,63433742423,29581650000.0,3913.2258,3950.4321,3875.2285,138.31136,139.4991,133.5577,14536.2,54.0,5.289,42860300.0,8.269022,0.010707324,0.061952695,0.060244568,0.046701837,55.954372,53.83426,3734.5063,,,,,,-0.009695847,0.1248447,0.12178868,0.09927311,-0.08865512,0.19972305,0.023472624,0.10285933,0.034637917,-0.021858629,0.012911758,0.003938286,0.006131124,0.024700977,0.009093938,,0.003493602,-1.38788655e-05,-0.0063371444
2019-03-15,3960.9111,137.69179,2822.48,69789345123,32238709000.0,3926.6633,3968.543,3914.0154,133.56715,138.39514,133.56715,14579.0,55.0,4.995,46157990.0,8.284229,0.01520742,0.089776106,0.05745991,0.04635113,58.88039,55.954372,3786.0984,,,,,,0.018802132,0.12017421,0.12190993,0.096290074,-0.009695847,-0.08865512,0.19972305,0.023472624,0.034762654,0.028538167,0.016748948,-0.021858629,0.003938286,0.006131124,0.011734988,,0.009093938,0.003493602,-1.38788655e-05
2019-03-22,4023.9683,137.18144,2800.71,67329731534,31711670000.0,4028.5146,4053.9067,4021.5425,136.56226,138.7943,136.2286,14589.2,56.0,5.289,43141132.0,8.300024,0.015794463,0.004593485,0.02561041,0.045155518,61.765705,58.88039,3862.673,,,,,,-0.0037133193,-0.08326216,0.046861153,0.0941859,0.018802132,-0.009695847,-0.08865512,0.19972305,0.034091085,-0.007742982,0.002874843,0.028538167,-0.021858629,0.003938286,0.012421757,,0.011734988,0.009093938,0.003493602
2019-03-29,4098.3745,142.49742,2834.4,70960912702,32200258000.0,4068.2998,4113.501,4034.0972,139.3432,142.54924,138.0451,14550.3,50.0,5.289,46615904.0,8.318346,0.018321889,0.060031097,0.0031694353,0.041253548,64.89584,61.765705,3924.3296,,,,,,0.038019456,0.043412425,0.021875693,0.085297704,-0.0037133193,0.018802132,-0.009695847,-0.08865512,0.034769252,0.011957298,0.010893854,-0.007742982,0.028538167,-0.021858629,0.011097522,,0.012421757,0.011734988,0.009093938
2019-04-05,5036.681,165.51485,2892.74,108239679699,49939255000.0,4922.806,5053.51,4919.4917,158.02,167.22038,157.44395,14670.3,59.0,8.227,44396100.0,8.524503,0.20615692,0.2554807,0.09486746,0.07798293,83.377205,64.89584,4126.5967,,,,,,0.149737,0.20284526,0.06818457,0.0919669,0.038019456,-0.0037133193,0.018802132,-0.009695847,0.03286189,0.020373907,0.05312639,0.011957298,-0.007742982,0.028538167,0.009225245,0.008330412,0.011097522,0.012421757,0.011734988
